Census,Election_Date,Month,Year,Ward,Polling_Place,Registered_Voters,11_AM_Turnout_Total,11_AM_Absentees_Processed,11_AM_Provisionals,11_AM_Turnout_Percentage,11_AM_Turnout_Projection,4_PM_Turnout_Total,4_PM_Absentees_Processed,4_PM_Provisionals,4_PM_Turnout_Percentage,4_PM_Turnout_Projection,8_PM_Turnout,8_PM_Provisionals,Final_Turnout_Percentage,OBJECTID
2000,4/1/2008,April,2008,1,Glendale,2510,141,NA,NA,0.060000,NA,284,NA,NA,0.110000,NA,483,NA,0.190000,0
2000,4/1/2008,April,2008,2,Lake City,2516,163,NA,NA,0.060000,NA,315,NA,NA,0.130000,NA,589,NA,0.230000,1
2000,4/1/2008,April,2008,3,Elvehjem,1336,89,NA,NA,0.070000,NA,226,NA,NA,0.170000,NA,382,NA,0.290000,2
2000,4/1/2008,April,2008,4,Elvehjem,1533,63,NA,NA,0.040000,NA,179,NA,NA,0.120000,NA,274,NA,0.180000,3
2000,4/1/2008,April,2008,131,Elvehjem,1,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,4
2000,4/1/2008,April,2008,5,Door Creek Church,2181,128,NA,NA,0.060000,NA,299,NA,NA,0.140000,NA,488,NA,0.220000,5
2000,4/1/2008,April,2008,5,Kennedy,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,6
2000,4/1/2008,April,2008,6,Kennedy,1642,130,NA,NA,0.080000,NA,250,NA,NA,0.150000,NA,428,NA,0.260000,7
2000,4/1/2008,April,2008,111,Kennedy,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,8
2000,4/1/2008,April,2008,115,Kenndy,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,9
2000,4/1/2008,April,2008,139,Kennedy,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,10
2000,4/1/2008,April,2008,7,New Beginnings,1873,118,NA,NA,0.060000,NA,275,NA,NA,0.150000,NA,403,NA,0.220000,11
2000,4/1/2008,April,2008,136,New Beginnings,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,12
2000,4/1/2008,April,2008,8,American Family,1778,64,NA,NA,0.040000,NA,157,NA,NA,0.090000,NA,252,NA,0.140000,13
2000,4/1/2008,April,2008,9,American Family,917,21,NA,NA,0.020000,NA,56,NA,NA,0.060000,NA,93,NA,0.100000,14
2000,4/1/2008,April,2008,10,LaFollette,1645,98,NA,NA,0.060000,NA,230,NA,NA,0.140000,NA,425,NA,0.260000,15
2000,4/1/2008,April,2008,11,Whitehorse,2503,145,NA,NA,0.060000,NA,303,NA,NA,0.120000,NA,537,NA,0.210000,16
2000,4/1/2008,April,2008,12,Hawthorne,1211,48,NA,NA,0.040000,NA,122,NA,NA,0.100000,NA,223,NA,0.180000,17
2000,4/1/2008,April,2008,13,Hawthorne,578,23,NA,NA,0.040000,NA,59,NA,NA,0.100000,NA,100,NA,0.170000,18
2000,4/1/2008,April,2008,14,MATC Commercial,1341,69,NA,NA,0.050000,NA,132,NA,NA,0.100000,NA,234,NA,0.170000,19
