Census,Election_Date,Month,Year,Ward,Polling_Place,Registered_Voters,11_AM_Turnout_Total,11_AM_Absentees_Processed,11_AM_Provisionals,11_AM_Turnout_Percentage,11_AM_Turnout_Projection,4_PM_Turnout_Total,4_PM_Absentees_Processed,4_PM_Provisionals,4_PM_Turnout_Percentage,4_PM_Turnout_Projection,8_PM_Turnout,8_PM_Provisionals,Final_Turnout_Percentage,OBJECTID
2000,4/1/2008,April,2008,15,Ntnl Guard,754,34,NA,NA,0.050000,NA,76,NA,NA,0.100000,NA,125,NA,0.170000,20
2000,4/1/2008,April,2008,21,Ntnl Guard,419,13,NA,NA,0.030000,NA,24,NA,NA,0.060000,NA,32,NA,0.080000,21
2000,4/1/2008,April,2008,133,Ntnl Guard,2,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,22
2000,4/1/2008,April,2008,16,#8 Fire Stn,644,31,NA,NA,0.050000,NA,68,NA,NA,0.110000,NA,110,NA,0.170000,23
2000,4/1/2008,April,2008,17,#8 Fire Stn,1801,59,NA,NA,0.030000,NA,101,NA,NA,0.060000,NA,217,NA,0.120000,24
2000,4/1/2008,April,2008,18,#8 Fire Stn,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,25
2000,4/1/2008,April,2008,118,#8 Fire Stn,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,26
2000,4/1/2008,April,2008,18,Oakwood,965,88,NA,NA,0.090000,NA,202,NA,NA,0.210000,NA,256,NA,0.270000,27
2000,4/1/2008,April,2008,19,Sandburg,2162,69,NA,NA,0.030000,NA,150,NA,NA,0.070000,NA,309,NA,0.140000,28
2000,4/1/2008,April,2008,20,Sandburg,533,27,NA,NA,0.050000,NA,45,NA,NA,0.080000,NA,97,NA,0.180000,29
2000,4/1/2008,April,2008,108,Sandburg,106,4,NA,NA,0.040000,NA,7,NA,NA,0.070000,NA,23,NA,0.220000,30
2000,4/1/2008,April,2008,138,Sandburg,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,31
2000,4/1/2008,April,2008,22,Mendota,1204,26,NA,NA,0.020000,NA,263,NA,NA,0.220000,NA,374,NA,0.310000,32
2000,4/1/2008,April,2008,23,Mendota,887,103,NA,NA,0.120000,NA,72,NA,NA,0.080000,NA,118,NA,0.130000,33
2000,4/1/2008,April,2008,24,Lindbergh,1498,127,NA,NA,0.080000,NA,249,NA,NA,0.170000,NA,405,NA,0.270000,34
2000,4/1/2008,April,2008,25,Black Hawk,3015,300,NA,NA,0.100000,NA,665,NA,NA,0.220000,NA,1102,NA,0.370000,35
2000,4/1/2008,April,2008,143,Black Hawk,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,36
2000,4/1/2008,April,2008,144,Black Hawk,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,37
2000,4/1/2008,April,2008,26,Warner Park,329,9,NA,NA,0.030000,NA,20,NA,NA,0.060000,NA,40,NA,0.120000,38
2000,4/1/2008,April,2008,27,Warner Park,1689,89,NA,NA,0.050000,NA,236,NA,NA,0.140000,NA,337,NA,0.200000,39
2000,4/1/2008,April,2008,28,Warner Park,315,13,NA,NA,0.040000,NA,28,NA,NA,0.090000,NA,53,NA,0.170000,40
2000,4/1/2008,April,2008,29,Warner Park,342,25,NA,NA,0.070000,NA,56,NA,NA,0.160000,NA,117,NA,0.340000,41
2000,4/1/2008,April,2008,30,St Paul,1182,96,NA,NA,0.080000,NA,252,NA,NA,0.210000,NA,411,NA,0.350000,42
2000,4/1/2008,April,2008,31,Sherman,1095,45,NA,NA,0.040000,NA,93,NA,NA,0.080000,NA,207,NA,0.190000,43
2000,4/1/2008,April,2008,32,East High,2129,95,NA,NA,0.040000,NA,207,NA,NA,0.100000,NA,482,NA,0.230000,44
2000,4/1/2008,April,2008,33,Olbrich,3000,223,NA,NA,0.070000,NA,484,NA,NA,0.160000,NA,915,NA,0.310000,45
2000,4/1/2008,April,2008,34,O'Keeffe,3534,237,NA,NA,0.070000,NA,560,NA,NA,0.160000,NA,992,NA,0.280000,46
2000,4/1/2008,April,2008,35,Wil-Mar,2340,86,NA,NA,0.040000,NA,226,NA,NA,0.100000,NA,485,NA,0.210000,47
2000,4/1/2008,April,2008,36,MMB,719,39,NA,NA,0.050000,NA,84,NA,NA,0.120000,NA,122,NA,0.170000,48
2000,4/1/2008,April,2008,37,Tenney,2025,102,NA,NA,0.050000,NA,222,NA,NA,0.110000,NA,436,NA,0.220000,49
2000,4/1/2008,April,2008,38,Lapham,1863,83,NA,NA,0.040000,NA,158,NA,NA,0.080000,NA,311,NA,0.170000,50
2000,4/1/2008,April,2008,39,Gates of Heaven,3326,78,NA,NA,0.020000,NA,188,NA,NA,0.060000,NA,327,NA,0.100000,51
2000,4/1/2008,April,2008,41,MATC  ,2211,41,NA,NA,0.020000,NA,83,NA,NA,0.040000,NA,141,NA,0.060000,52
2000,4/1/2008,April,2008,43,Madison Library,2350,82,NA,NA,0.030000,NA,320,NA,NA,0.140000,NA,537,NA,0.230000,53
2000,4/1/2008,April,2008,45,Gordon Commons,3577,12,NA,NA,0,NA,63,NA,NA,0.020000,NA,101,NA,0.030000,54
2000,4/1/2008,April,2008,47,Memorial Union,2191,9,NA,NA,0,NA,62,NA,NA,0.030000,NA,92,NA,0.040000,55
2000,4/1/2008,April,2008,48,Porchlight,3019,19,NA,NA,0.010000,NA,65,NA,NA,0.020000,NA,98,NA,0.030000,56
2000,4/1/2008,April,2008,49,Brittingham,1252,28,NA,NA,0.020000,NA,75,NA,NA,0.060000,NA,128,NA,0.100000,57
2000,4/1/2008,April,2008,50,St James,3408,134,NA,NA,0.040000,NA,285,NA,NA,0.080000,NA,517,NA,0.150000,58
2000,4/1/2008,April,2008,51,Trinity UMC,1214,58,NA,NA,0.050000,NA,127,NA,NA,0.100000,NA,229,NA,0.190000,59
2000,4/1/2008,April,2008,52,Bjarne Romnes,2118,143,NA,NA,0.070000,NA,266,NA,NA,0.130000,NA,498,NA,0.240000,60
2000,4/1/2008,April,2008,53,Boys & Girls,714,19,NA,NA,0.030000,NA,52,NA,NA,0.070000,NA,97,NA,0.140000,61
2000,4/1/2008,April,2008,106,Boys & Girls,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,62
2000,4/1/2008,April,2008,140,Boys & Girls,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,63
2000,4/1/2008,April,2008,54,Bridge-Lake,1209,80,NA,NA,0.070000,NA,172,NA,NA,0.140000,NA,260,NA,0.220000,64
2000,4/1/2008,April,2008,55,MPD South,120,0,NA,NA,0,NA,7,NA,NA,0.060000,NA,14,NA,0.120000,65
2000,4/1/2008,April,2008,56,MPD South,1424,52,NA,NA,0.040000,NA,147,NA,NA,0.100000,NA,233,NA,0.160000,66
2000,4/1/2008,April,2008,56,Nghbrhd Interv,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,67
2000,4/1/2008,April,2008,57,#6 Fire Stn,742,17,NA,NA,0.020000,NA,54,NA,NA,0.070000,NA,77,NA,0.100000,68
2000,4/1/2008,April,2008,117,#6 Fire Stn,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,69
2000,4/1/2008,April,2008,58,Leopold,598,12,NA,NA,0.020000,NA,35,NA,NA,0.060000,NA,55,NA,0.090000,70
2000,4/1/2008,April,2008,59,Leopold,1310,74,NA,NA,0.060000,NA,191,NA,NA,0.150000,NA,331,NA,0.250000,71
2000,4/1/2008,April,2008,60,1st Congregatnl,788,10,NA,NA,0.010000,NA,16,NA,NA,0.020000,NA,26,NA,0.030000,72
2000,4/1/2008,April,2008,61,1st Congregatnl,3194,12,NA,NA,0,NA,248,NA,NA,0.080000,NA,418,NA,0.130000,73
2000,4/1/2008,April,2008,62,Holt Commons,1780,29,NA,NA,0.020000,NA,82,NA,NA,0.050000,NA,138,NA,0.080000,74
2000,4/1/2008,April,2008,63,Eagle Hts,806,23,NA,NA,0.030000,NA,0,NA,NA,0,NA,91,NA,0.110000,75
2000,4/1/2008,April,2008,64,West High,2365,113,NA,NA,0.050000,NA,238,NA,NA,0.100000,NA,462,NA,0.200000,76
2000,4/1/2008,April,2008,65,Blessed Sacrament,1805,195,NA,NA,0.110000,NA,358,NA,NA,0.200000,NA,695,NA,0.390000,77
2000,4/1/2008,April,2008,66,Dudgeon,2016,132,NA,NA,0.070000,NA,332,NA,NA,0.160000,NA,519,NA,0.260000,78
2000,4/1/2008,April,2008,116,Dudgeon,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,79
2000,4/1/2008,April,2008,67,Thoreau,2659,203,NA,NA,0.080000,NA,496,NA,NA,0.190000,NA,853,NA,0.320000,80
2000,4/1/2008,April,2008,68,Head Start,1022,39,NA,NA,0.040000,NA,72,NA,NA,0.070000,NA,121,NA,0.120000,81
2000,4/1/2008,April,2008,69,Midvale,1711,162,NA,NA,0.090000,NA,346,NA,NA,0.200000,NA,676,NA,0.400000,82
2000,4/1/2008,April,2008,70,Hoyt,2025,188,NA,NA,0.090000,NA,434,NA,NA,0.210000,NA,693,NA,0.340000,83
2000,4/1/2008,April,2008,71,Hoyt,1183,67,NA,NA,0.060000,NA,165,NA,NA,0.140000,NA,281,NA,0.240000,84
2000,4/1/2008,April,2008,72,Van Hise,1673,169,NA,NA,0.100000,NA,406,NA,NA,0.240000,NA,684,NA,0.410000,85
2000,4/1/2008,April,2008,73,Hill Farm,1698,126,NA,NA,0.070000,NA,332,NA,NA,0.200000,NA,462,NA,0.270000,86
2000,4/1/2008,April,2008,74,Spring Harbor,2179,190,NA,NA,0.090000,NA,372,NA,NA,0.170000,NA,639,NA,0.290000,87
2000,4/1/2008,April,2008,75,Crestwood,2619,234,NA,NA,0.090000,NA,577,NA,NA,0.220000,NA,951,NA,0.360000,88
2000,4/1/2008,April,2008,76,Stephens,1218,108,NA,NA,0.090000,NA,293,NA,NA,0.240000,NA,447,NA,0.370000,89
2000,4/1/2008,April,2008,77,Stephens,839,53,NA,NA,0.060000,NA,152,NA,NA,0.180000,NA,349,NA,0.420000,90
2000,4/1/2008,April,2008,78,Muir,1631,163,NA,NA,0.100000,NA,355,NA,NA,0.220000,NA,549,NA,0.340000,91
2000,4/1/2008,April,2008,79,Jefferson,1045,82,NA,NA,0.080000,NA,214,NA,NA,0.200000,NA,291,NA,0.280000,92
2000,4/1/2008,April,2008,80,Jefferson,908,10,NA,NA,0.010000,NA,39,NA,NA,0.040000,NA,60,NA,0.070000,93
2000,4/1/2008,April,2008,81,High Point,1979,160,NA,NA,0.080000,NA,348,NA,NA,0.180000,NA,539,NA,0.270000,94
2000,4/1/2008,April,2008,83,High Point,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,95
2000,4/1/2008,April,2008,100,High Point,2,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,96
2000,4/1/2008,April,2008,104,High Point,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,97
2000,4/1/2008,April,2008,105,High Point,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,98
2000,4/1/2008,April,2008,109,High Point,28,0,NA,NA,0,NA,1,NA,NA,0.040000,NA,1,NA,0.040000,99
2000,4/1/2008,April,2008,112,High Point,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,100
2000,4/1/2008,April,2008,113,High Point,10,1,NA,NA,0.100000,NA,3,NA,NA,0.300000,NA,3,NA,0.300000,101
2000,4/1/2008,April,2008,145,High Point,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,102
2000,4/1/2008,April,2008,82,Alicia Ashman,2172,187,NA,NA,0.090000,NA,390,NA,NA,0.180000,NA,649,NA,0.300000,103
2000,4/1/2008,April,2008,101,Alicia Ashman,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,104
2000,4/1/2008,April,2008,127,Alicia Ashman,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,105
2000,4/1/2008,April,2008,132,Alicia Ashman,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,106
2000,4/1/2008,April,2008,141,Alicia Ashman,3,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,107
2000,4/1/2008,April,2008,83,The Jefferson,3018,189,NA,NA,0.060000,NA,462,NA,NA,0.150000,NA,733,NA,0.240000,108
2000,4/1/2008,April,2008,110,The Jefferson,168,8,NA,NA,0.050000,NA,18,NA,NA,0.110000,NA,39,NA,0.230000,109
2000,4/1/2008,April,2008,112,The Jefferson,31,1,NA,NA,0.030000,NA,5,NA,NA,0.160000,NA,7,NA,0.230000,110
2000,4/1/2008,April,2008,119,The Jefferson,5,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,111
2000,4/1/2008,April,2008,120,The Jefferson,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,112
2000,4/1/2008,April,2008,129,The Jefferson,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,113
2000,4/1/2008,April,2008,84,Odana Hills,1261,131,NA,NA,0.100000,NA,292,NA,NA,0.230000,NA,477,NA,0.380000,114
2000,4/1/2008,April,2008,85,MG&E Innovation,1552,175,NA,NA,0.110000,NA,323,NA,NA,0.210000,NA,511,NA,0.330000,115
2000,4/1/2008,April,2008,86,Toki,2227,216,NA,NA,0.100000,NA,494,NA,NA,0.220000,NA,792,NA,0.360000,116
2000,4/1/2008,April,2008,87,Good Shepherd,1882,214,NA,NA,0.110000,NA,428,NA,NA,0.230000,NA,662,NA,0.350000,117
2000,4/1/2008,April,2008,88,Good Shepherd,621,20,NA,NA,0.030000,NA,54,NA,NA,0.090000,NA,102,NA,0.160000,118
2000,4/1/2008,April,2008,89,Huegel,792,51,NA,NA,0.060000,NA,114,NA,NA,0.140000,NA,241,NA,0.300000,119
2000,4/1/2008,April,2008,90,Heritage,1244,40,NA,NA,0.030000,NA,88,NA,NA,0.070000,NA,180,NA,0.140000,120
2000,4/1/2008,April,2008,93,Heritage,2469,92,NA,NA,0.040000,NA,207,NA,NA,0.080000,NA,370,NA,0.150000,121
2000,4/1/2008,April,2008,93,Heritage,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,122
2000,4/1/2008,April,2008,102,Heritage,245,13,NA,NA,0.050000,NA,31,NA,NA,0.130000,NA,52,NA,0.210000,123
2000,4/1/2008,April,2008,103,Heritage,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,124
2000,4/1/2008,April,2008,91,Capitoland,1963,65,NA,NA,0.030000,NA,155,NA,NA,0.080000,NA,291,NA,0.150000,125
2000,4/1/2008,April,2008,92,Chavez,2513,113,NA,NA,0.040000,NA,229,NA,NA,0.090000,NA,439,NA,0.170000,126
2000,4/1/2008,April,2008,135,Chavez,7,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,127
2000,4/1/2008,April,2008,94,MPD West,893,42,NA,NA,0.050000,NA,117,NA,NA,0.130000,NA,193,NA,0.220000,128
2000,4/1/2008,April,2008,95,Falk,841,37,NA,NA,0.040000,NA,84,NA,NA,0.100000,NA,140,NA,0.170000,129
2000,4/1/2008,April,2008,96,Falk,2117,177,NA,NA,0.080000,NA,380,NA,NA,0.180000,NA,650,NA,0.310000,130
2000,4/1/2008,April,2008,137,Falk,4,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,131
2000,4/1/2008,April,2008,97,Ice Arena,462,52,NA,NA,0.110000,NA,102,NA,NA,0.220000,NA,133,NA,0.290000,132
2000,4/1/2008,April,2008,98,Ice Arena,2411,92,NA,NA,0.040000,NA,229,NA,NA,0.090000,NA,335,NA,0.140000,133
2000,4/1/2008,April,2008,126,Ice Arena,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,134
2000,4/1/2008,April,2008,128,Ice Arena,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,135
2000,4/1/2008,April,2008,130,Ice Arena,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,136
2000,4/1/2008,April,2008,134,Ice Arena,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,137
2000,4/1/2008,April,2008,99,Elver Park,3794,190,NA,NA,0.050000,NA,444,NA,NA,0.120000,NA,677,NA,0.180000,138
2000,4/1/2008,April,2008,107,Elver Park,16,0,NA,NA,0,NA,0,NA,NA,0,NA,2,NA,0.130000,139
2000,4/1/2008,April,2008,114,Elver Park,16,0,NA,NA,0,NA,0,NA,NA,0,NA,4,NA,0.250000,140
2000,4/1/2008,April,2008,121,Elver Park,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,141
2000,4/1/2008,April,2008,122,Elver Park,21,0,NA,NA,0,NA,0,NA,NA,0,NA,4,NA,0.190000,142
2000,4/1/2008,April,2008,123,Elver Park,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,143
2000,4/1/2008,April,2008,124,Elver Park,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,144
2000,4/1/2008,April,2008,125,Elver Park,0,0,NA,NA,#DIV/0!,NA,0,NA,NA,#DIV/0!,NA,0,NA,#DIV/0!,145
2000,4/1/2008,April,2008,142,Elver Park,5,0,NA,NA,0,NA,0,NA,NA,0,NA,2,NA,0.400000,146
2000,11/4/2008,November,2008,1,Glendale,2510,0,,NA,0,NA,0,,NA,0,NA,2436,NA,0.970000,147
2000,11/4/2008,November,2008,2,Lake City,2516,0,,NA,0,NA,1792,,NA,0.710000,NA,2258,NA,0.900000,148
2000,11/4/2008,November,2008,3,Elvehjem,1336,599,,NA,0.450000,NA,971,,NA,0.730000,NA,1179,NA,0.880000,149
2000,11/4/2008,November,2008,4,Elvehjem,1533,573,,NA,0.370000,NA,1074,,NA,0.700000,NA,1401,NA,0.910000,150
2000,11/4/2008,November,2008,5,Door Creek Church,2181,945,,NA,0.430000,NA,1683,,NA,0.770000,NA,2518,NA,1.150000,151
2000,11/4/2008,November,2008,5,Kennedy,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,152
2000,11/4/2008,November,2008,6,Kennedy,1642,640,,NA,0.390000,NA,1050,,NA,0.640000,NA,1427,NA,0.870000,153
2000,11/4/2008,November,2008,7,New Beginnings,1873,791,,NA,0.420000,NA,1434,,NA,0.770000,NA,1654,NA,0.880000,154
2000,11/4/2008,November,2008,8,American Family,1778,575,,NA,0.320000,NA,1050,,NA,0.590000,NA,1457,NA,0.820000,155
2000,11/4/2008,November,2008,9,American Family,917,256,,NA,0.280000,NA,526,,NA,0.570000,NA,710,NA,0.770000,156
2000,11/4/2008,November,2008,10,LaFollette,1645,633,,NA,0.380000,NA,1169,,NA,0.710000,NA,1447,NA,0.880000,157
2000,11/4/2008,November,2008,11,Whitehorse,2503,959,,NA,0.380000,NA,1880,,NA,0.750000,NA,2139,NA,0.850000,158
2000,11/4/2008,November,2008,12,Hawthorne,1211,416,,NA,0.340000,NA,862,,NA,0.710000,NA,1013,NA,0.840000,159
2000,11/4/2008,November,2008,13,Hawthorne,578,195,,NA,0.340000,NA,356,,NA,0.620000,NA,426,NA,0.740000,160
2000,11/4/2008,November,2008,14,MATC Commercial,1341,510,,NA,0.380000,NA,0,,NA,0,NA,1128,NA,0.840000,161
2000,11/4/2008,November,2008,15,Ntnl Guard,754,338,,NA,0.450000,NA,517,,NA,0.690000,NA,648,NA,0.860000,162
2000,11/4/2008,November,2008,16,#8 Fire Stn,644,0,,NA,0,NA,476,,NA,0.740000,NA,660,NA,1.020000,163
2000,11/4/2008,November,2008,17,#8 Fire Stn,1801,0,,NA,0,NA,1129,,NA,0.630000,NA,1502,NA,0.830000,164
2000,11/4/2008,November,2008,18,#8 Fire Stn,0,0,,NA,#DIV/0!,NA,0,,NA,#DIV/0!,NA,0,NA,#DIV/0!,165
2000,11/4/2008,November,2008,18,Oakwood,965,480,,NA,0.500000,NA,0,,NA,0,NA,1053,NA,1.090000,166
2000,11/4/2008,November,2008,19,Sandburg,2162,634,,NA,0.290000,NA,1277,,NA,0.590000,NA,1758,NA,0.810000,167
2000,11/4/2008,November,2008,20,Sandburg,533,196,,NA,0.370000,NA,368,,NA,0.690000,NA,488,NA,0.920000,168
2000,11/4/2008,November,2008,21,Ntnl Guard,419,160,,NA,0.380000,NA,265,,NA,0.630000,NA,356,NA,0.850000,169
2000,11/4/2008,November,2008,22,Mendota,1204,0,,NA,0,NA,0,,NA,0,NA,1055,NA,0.880000,170
2000,11/4/2008,November,2008,23,Mendota,887,0,,NA,0,NA,0,,NA,0,NA,828,NA,0.930000,171
2000,11/4/2008,November,2008,24,Lindbergh,1498,616,,NA,0.410000,NA,999,,NA,0.670000,NA,1304,NA,0.870000,172
2000,11/4/2008,November,2008,25,Black Hawk,3015,0,,NA,0,NA,2189,,NA,0.730000,NA,2655,NA,0.880000,173
2000,11/4/2008,November,2008,26,Warner Park,329,134,,NA,0.410000,NA,219,,NA,0.670000,NA,281,NA,0.850000,174
2000,11/4/2008,November,2008,27,Warner Park,1689,576,,NA,0.340000,NA,0,,NA,0,NA,1440,NA,0.850000,175
2000,11/4/2008,November,2008,28,Warner Park,315,128,,NA,0.410000,NA,198,,NA,0.630000,NA,251,NA,0.800000,176
2000,11/4/2008,November,2008,29,Warner Park,342,167,,NA,0.490000,NA,239,,NA,0.700000,NA,292,NA,0.850000,177
2000,11/4/2008,November,2008,30,St Paul,1182,526,,NA,0.450000,NA,856,,NA,0.720000,NA,1040,NA,0.880000,178
2000,11/4/2008,November,2008,31,Sherman,1095,452,,NA,0.410000,NA,0,,NA,0,NA,930,NA,0.850000,179
2000,11/4/2008,November,2008,32,East High,2129,843,,NA,0.400000,NA,1429,,NA,0.670000,NA,1768,NA,0.830000,180
2000,11/4/2008,November,2008,33,Olbrich,3000,957,,NA,0.320000,NA,2055,,NA,0.690000,NA,2518,NA,0.840000,181
2000,11/4/2008,November,2008,34,O'Keeffe,3534,0,,NA,0,NA,0,,NA,0,NA,2772,NA,0.780000,182
2000,11/4/2008,November,2008,35,Wil-Mar,2340,834,,NA,0.360000,NA,1446,,NA,0.620000,NA,1764,NA,0.750000,183
2000,11/4/2008,November,2008,36,MMB,719,267,,NA,0.370000,NA,402,,NA,0.560000,NA,537,NA,0.750000,184
2000,11/4/2008,November,2008,37,Tenney,2025,806,,NA,0.400000,NA,1238,,NA,0.610000,NA,1539,NA,0.760000,185
2000,11/4/2008,November,2008,38,Lapham,1863,575,,NA,0.310000,NA,0,,NA,0,NA,1313,NA,0.700000,186
2000,11/4/2008,November,2008,39,Gates of Heaven,3326,901,,NA,0.270000,NA,1082,,NA,0.330000,NA,2167,NA,0.650000,187
2000,11/4/2008,November,2008,40,Lowell Hall,2819,700,,NA,0.250000,NA,1271,,NA,0.450000,NA,1575,NA,0.560000,188
2000,11/4/2008,November,2008,41,MATC  ,2211,582,,NA,0.260000,NA,1113,,NA,0.500000,NA,1418,NA,0.640000,189
2000,11/4/2008,November,2008,42,#1 Fire Stn,3892,0,,NA,0,NA,2037,,NA,0.520000,NA,2582,NA,0.660000,190
2000,11/4/2008,November,2008,43,Madison Library,2350,0,,NA,0,NA,0,,NA,0,NA,1846,NA,0.790000,191
2000,11/4/2008,November,2008,44,Doyle,5084,0,,NA,0,NA,0,,NA,0,NA,3595,NA,0.710000,192
